original,disfluent,generated_text
What do unstable isotope studies indicate?,What do petrologists no what do unstable isotope studies indicate?,What do unstable isotope studies indicate?
What is the basic unit of territorial division in Warsaw?,What is the second level of territorial division in Poland no make that the basic unit of territorial division in Warsaw?,What is the basic unit of territorial division in Warsaw?
Which genus lack tentacles and sheaths?,Juvenile platyctenids no wow Which genus lack tentacles and sheaths?,Which genus lack tentacles and sheaths?
Long-lived memory cells can remember previous encounters with what?,When a pathogen is met again scratch that I mean long-lived memory cells are capable of remembering previous encounters with what?,Long-lived memory cells are capable of remembering previous encounters with what?
What led to Newcastle's rise to power as military advisor?,What led to the Duke of Cumberland's rise to power as military advisor sorry no Newcastle's?,What led to Newcastle's rise to power as military advisor?
How long did Julia Butterfly Hill live near a nuclear-missile installation?,Did Julia Butterfly wait How long did Julia Butterfly Hill live near a nuclear-missile installation?,How long did Julia Butterfly Hill live near a nuclear-missile installation?
When was Warsaw ranked as the 22nd most liveable city in the world?,"When was Frankfurt ranked as the 22nd most liveable city in the world, no sorry it was Warsaw?",When was Warsaw ranked as the 22nd most liveable city in the world?
What is the name of the supposition that any number larger than 2 can be represented as the sum of two primes?,"What is the name of the number theory, or rather, the supposition that any number larger than 2 can be represented as the sum of two primes?",What is the name of the supposition that any number larger than 2 can be represented as the sum of two primes?
Which group sets the time agenda?,Who represents instead how about which group sets the time agenda?,Which group sets the time agenda?
"When three forces act on a point particle, what happens?","What geometric er when three forces act on a point particle, what happens?","When three forces act on a point particle, what happens?"
What profession does Zbigniew Marek have?,What profession does Irena Bajerska no Zbigniew Marek have?,What profession does Zbigniew Marek have?
What type of wages does mechanization and automation lead to?,What type of wages does equipment for labor no the mechanization and automation lead to?,What type of wages does mechanization and automation lead to?
What type of entrepreneurship leads to advancements in technology?,What type of impact or uh entrepreneurship leads to advancements in technology?,What type of entrepreneurship leads to advancements in technology?
What does the highest level of the Vistula plateau contain?,Why does What does the highest level of the Vistula plateau contain?,What does the highest level of the Vistula plateau contain?
What percentage of Venice residents died of the plague in 1361?,What percentage of Parisian residents died of the plague in 1361 no Venice residents?,What percentage of Venice residents died of the plague in 1361?
What is the effect of beta decay?,What is the result of no no I mean what is the effect of beta decay?,What is the effect of beta decay?
What kind of organs do some sponges have?,What kind of organs do ctenophores or no make that do some sponges have?,What kind of organs do some sponges have?
 How did the party overthrow the elected government in 1929?,How did the party overthrow the elected government in 1985 no i mean 1929?,How did the party overthrow the elected government in 1929?
In what year did Fresno get its first pedestrian mall?,How no sorry in what year did Fresno get its first pedestrian mall?,In what year did Fresno get its first pedestrian mall?
Who were the main detractors of the humoral theory of immunity?,What are or actually who were the main detractors of the humoral theory of immunity?,Who were the main detractors of the humoral theory of immunity?
What is one function that prime numbers have that 1 does not?,"Which theorem, oh wait, what is one function that prime numbers have that 1 does not?",What is one function that prime numbers have that 1 does not?
What is another function that primes have that the number 15 does not?,What is a fundamental no is another function that primes have that the number 15 does not?,What is another function that primes have that the number 15 does not?
Why do oceanic plates and mantle convection currents move in opposite directions?,When was um no why do oceanic plates and mantle convection currents move in opposite directions?,Why do oceanic plates and mantle convection currents move in opposite directions?
Below what levels were the projected sea levels in the 2001 IPCC projection?,Below what levels were the projected sea levels in the 2007 or no make that the 2001 IPCC projection?,Below what levels were the projected sea levels in the 2001 IPCC projection?
Who disagrees with the timetable of business in the chamber?,Who sets the work agenda and allocates time in the chamber no not this I want to know who disagrees with the timetable of business in the chamber?,Who disagrees with the timetable of business in the chamber?
Which building was vacated three times to allow for the meeting of the Church's General Assembly?,Which building was vacated three times to allow for the meeting of the General Assembly Hall or no rather of the Church's General Assembly?,Which building was vacated three times to allow for the meeting of the Church's General Assembly?
What career does Joseph Stiglitz have?,"What skills, no, what career does Joseph Stiglitz have?",What career does Joseph Stiglitz have?
What is another name for State Route 168?,What is another name for State Route 41 or no 168?,What is another name for State Route 168?
What was written by Ghandi in 1819?,"What was written by Henry David Thoreau or sorry Ghandi in 1819? "","" What was referenced err I mean written by Ghandi in 1819?",What was written by Ghandi in 1819?
Who deployed its army into Iraq in 1979?,Who deployed its army into Afghanistan in 1979 no sorry not Afghanistan but in Iraq?,Who deployed its army into Iraq?
Innate cells can act as mediators in the activation of what branch of the immune system?,What cells are the second arm of the innate immune system or rather Innate cells can act as mediators in the activation of what branch of the immune system?,Innate cells can act as mediators in the activation of what branch of the immune system?
What publication printed that the wealthiest 1% have more money than those in the bottom 99%?,What institution no um publication printed that the wealthiest 1% have more money than those in the bottom 99%?,What publication printed that the wealthiest 1% have more money than those in the bottom 99%?
What is the name of the park in Atascadero?,What is the name of the park in Reedley er uh better Atascadero?,What is the name of the park in Atascadero?
When was the Masovian Duchy reincorporated into the Polish Crown?,When was the settlement which would become Warsaw established no not that but when was the Masovian Duchy reincorporated into the Polish Crown?,When was the Masovian Duchy reincorporated into the Polish Crown?
In what decade did the U of C affiliate with numerous national colleges?,In what decade did the Des Moines College or no make that the U of C affiliate with numerous national colleges?,In what decade did the U of C affiliate with numerous national colleges?
What portion of households in Jacksonville have only one person?,Which percentage of households in Jacksonville have more than no sorry have only one person?,Which percentage of households in Jacksonville have only one person?
How much do estimations of the population during the plague vary?,How much did the clergy no do estimations of the population during the plague vary?,How much do estimations of the population during the plague vary?
There's a rough border between Switzerland and what other country formed by the Rhine?,There's a tributary border between Switzerland and what other country formed by the Rhine no a rough?,There's a rough border between Switzerland and what other country formed by the Rhine?
What is not a form of immunological memory?,Which is or no make that what is not a form of immunological memory?,What is not a form of immunological memory?
In what month in 1349 did the second wave of the plague reach England?,In what month in 1347 no um 1349 did the second wave of the plague reach England?,In what month in 1349 did the second wave of the plague reach England?
What increases entrepreneurship rates at the individual level?,How does no actually what increases entrepreneurship rates at the individual level?,What increases entrepreneurship rates at the individual level?
 What Chinese system did Kublai's government not compromise with?,What Chinese system did Mongols no the Kublai's government not compromise with?, What Chinese system did Kublai's government not compromise with?
How many avulsions have occurred in the past 6000 yeas?,How many avulsions have occurred in upland areas or actually just the past 6000 years?,How many avulsions have occurred in the past 6000 years?
What question has not led to criticism?,What question has not led to consequences uh alternatively criticism?,What question has not led to criticism?
What is one general concept that applies to elements of commutative rings?,Which is or no make that what is one general concept that applies to elements of commutative rings?,What is one general concept that applies to elements of commutative rings?
What probiotic flora is found in unpasteurized yogurt?,Which or rather what probiotic flora is found in unpasteurized yogurt?,What probiotic flora is found in unpasteurized yogurt?
What is Circuit Switching? ,What is  packet or uh Circuit Switching?,What is Circuit Switching?
When did Warsaw become the capital of the Kingdom of Poland?,When is or actually tell me when did Warsaw become the capital of the Kingdom of Poland?,When did Warsaw become the capital of the Kingdom of Poland?
What is the rarest cause of poor immune function in developing countries?,What occurs er what is the rarest cause of poor immune function in developing countries?,What is the rarest cause of poor immune function in developing countries?
What does poor academic achievement lead to according to critics?,What can non-profit trusts and societies do no no wait What does poor academic achievement lead to according to critics?,What does poor academic achievement lead to according to critics?
What castle currently houses the Centre for Ujazdow Art?,What castle currently concerts er uh houses the Centre for Ujazdow Art?,What castle currently houses the Centre for Ujazdow Art?
What did the 2007 IPCC report suggest had been decreasing? ,What did the 2001 er uh 2007 IPCC report suggest had been decreasing?,What did the 2007 IPCC report suggest had been decreasing?
